Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
F11,CLI: sql,As a researcher I want to run raw SQL queries,Executes SQL and prints results as table or JSON with --json,Invalid SQL shows error; empty result shows "(no rows)",TC11a: sy sql "SELECT COUNT(*) FROM collections" returns 74; TC11b: sy sql "bad query" errors; TC11c: sy sql --json valid JSON,Pending,0,,,
F12,CLI: db,As a researcher I want to open a sqlite3 shell,Launches sqlite3 interactive shell on vrm_index.db,DB file exists,TC12a: sy db opens shell,Pending,0,,,
F13,CLI: shortcuts (-A -B -C -g -d -v),As a researcher I want quick filter shortcuts,Flags map to find --tier A/B/C --license green --discord none --nft-type generative,Each flag works independently,TC13a: sy -A returns tier A; TC13b: sy -B returns tier B; TC13c: sy -g returns green license,Pending,0,,,
F14,CLI: default (no args),As a user I want sensible default behavior when I run sy with no args,Shows help/usage with all commands,No args,TC14a: sy with no args shows usage,Pending,0,,,
F15,CLI: implicit show,As a user I want to type sy <name> as shorthand for sy show <name>,Unrecognized first arg treated as show query,Nonexistent name shows not found,TC15a: sy RetroDoges shows detail; TC15b: sy nonexistent shows not found,Pending,0,,,
F16,HTML: Collections card grid,As a user I want to browse collections as a dense card list so I can scan the catalog quickly,card-grid of one <div class="crow"> per collection (thumb/name/creator/badges/chips/facts/desc/actions); rendered client-side from collections.<hash>.json; real-time filter/sort re-render on every change,Zero results shows empty state; single result renders correctly; missing every optional field renders a minimal card,TC16a: page loads and collCount shows "<b>N</b> of N collections"; TC16b: card count in DOM matches filtered row count; TC16c: sort dropdown re-orders cards,Pass,0,,"REPLACED the old 16-column sortable <table> + tab bar (cut 2026-08-10, see SCOPE.md ""What was cut""). No column-header sort — sorting is the f-sort dropdown (see F16b below).",2026-08-10
F16b,HTML: Sort dropdown (f-sort),As a user I want to reorder the collection list by a meaningful axis,"5 options: Name (localeCompare), Launch date (release_date desc string-compare), Supply (total_supply desc), VRM status (VRM_RANK: ok_vrm=0, reachable_not_vrm=1, missing/other=2, no_url=3, tiebreak by name), Files indexed (avatars_total desc)",Missing release_date sorts as empty string (localeCompare puts it last under desc); missing total_supply/avatars_total treated as 0,TC16b-1: select each of the 5 options and confirm card order changes; TC16b-2: sort=vrm puts ok_vrm collections first,Pass,0,,"NOT in the original spreadsheet at all — undocumented until this pass. Element id f-sort, handler filter() in app.js:144-153.",2026-08-10
F17,HTML: Search filter,As a user I want to search collections by text,"Debounced (150ms, onSearch()->setTimeout) case-insensitive substring match across name, contract, opensea_slug, vrm_license, creator, notes, description, curated_description, vipe_category joined into one haystack",Empty search shows all; no matches shows empty state; search term matching only curated_description (not description) still matches,TC17a: typing "retro" filters to RetroDoges; TC17b: typing "zzz_no_match" shows empty state; TC17c: rapid keystrokes only re-filter once after 150ms idle,Pass,0,,"Field list CORRECTED from the original row: original said name/contract/slug/license/creator/notes/description only — actual code (app.js:139) also matches curated_description and vipe_category.",2026-08-10
F18,HTML: Tier filter,(Removed — no user story.),N/A,N/A,N/A,Removed,0,,"CUT in the 2026-08-10 audit (SCOPE.md ""What was cut"": ""Tier badge... Pipeline vocabulary""). No f-tier element exists in index.html. Data column (tier) still in DB/JSON, unused by the UI.",2026-08-10
F19,HTML: Chain filter,As a user I want to filter by chain,"Dropdown f-chain: All chains / Ethereum / Base / Optimism / Polygon / Arbitrum / Shape / ApeChain / Multi-chain (8 real chains + multi, exact match on c.chain)",Collection with a chain value not in the dropdown list (e.g. an off-list chain) becomes unreachable by this filter — can only be found via search or ""All chains"",TC19a: filter by ethereum shows only chain==ethereum rows; TC19b: filter by base; TC19c: reset to ""All chains"" restores full count,Pass,0,,"Option list CORRECTED: original row said All/ethereum/polygon/base/optimism/multi/arweave — actual dropdown (index.html:29-38) has no ""arweave"" option and adds arbitrum/shape/ape_chain. Arweave-stored VRMs still surface via the storage chip (see F16c), just not as a top-level chain filter option.",2026-08-10
F20,HTML: License filter,As a user I want to filter by license category,"Dropdown f-license: All licences / Open·CC0 (green) / Holder-gated (yellow) / Restricted (red) / Unknown; exact match on (c.license_category || 'unknown')",Collection with null license_category is bucketed as unknown and matched by the Unknown filter,TC20a: filter by green shows only license_category==green; TC20b: filter by unknown includes null-category rows,Pass,0,,Labels corrected to match actual option text (""Open / CC0"" not ""green"").,2026-08-10
F21,HTML: URL status filter,(Removed — no user story.),N/A,N/A,N/A,Removed,0,,"CUT — no f-url element exists. Project-URL alive/dead status is not a UI filter dimension in the current build (url_status DB column still exists, unused by the UI).",2026-08-10
F22,HTML: Discord status filter,(Removed — no user story.),N/A,N/A,N/A,Removed,0,,"CUT — no f-discord element. Discord is now only an action-link chip (""DC"") shown when discord_status==='alive' (app.js:96), not a filter.",2026-08-10
F23,HTML: Mint status filter,(Removed — no user story.),N/A,N/A,N/A,Removed,0,,"CUT — no f-mint element. Ongoing mint status is folded into the supply fact text (""N (minting)"") instead of a separate filter (app.js:48).",2026-08-10
F24,HTML: NFT type filter,(Removed — no user story.),N/A,N/A,N/A,Removed,0,,CUT — no f-nfttype element. nft_type is not surfaced in the card UI at all currently.,2026-08-10
F25,HTML: Avatars tab,(Removed — no user story.),N/A,N/A,N/A,Removed,0,,"CUT (SCOPE.md: ""duplicated collection data one row at a time""). Whole tab + avatars-*.json exports deleted 2026-08-10. Per-collection file counts still shown via avatars_total/avatars_reachable in the card facts line (F16).",2026-08-10
F26,HTML: OpenSea candidates tab,(Removed — no user story.),N/A,N/A,N/A,Removed,0,,"CUT (SCOPE.md: ""216 leads, all proven non-VRM — noise""). Whole tab + opensea-candidates.json + catalog-summary.json exports deleted 2026-08-10.",2026-08-10
F27,HTML: VRM viewer modal,As a user I want to preview VRM files in 3D,"Dynamically injects an ES module script (once) that sets up Three.js r170 + @pixiv/three-vrm 3.4.5 via the import map; GLTFLoader + VRMLoaderPlugin; auto-frames camera via bounding-sphere + fov; VRM0 rotate fix; removeUnnecessaryVertices/combineSkeletons (guarded try/catch); shows load-progress %; on load failure RETRIES across ipfs.io -> dweb.link -> cloudflare-ipfs.com -> gateway.pinata.cloud for /ipfs/ URLs before giving up; Escape or × closes + VRMUtils.deepDispose GPU cleanup,No vrm_url_https on the collection -> View button renders disabled (""—"") rather than an alert (see defect note); non-VRM glTF loads but shows ""contains no VRM extension"" error; all gateway mirrors failing shows a CORS-aware final error message,TC27a: open viewer for a collection with vrm_url_https, canvas renders a model; TC27b: Escape closes and disposes; TC27c: IPFS URL with dead primary gateway falls through to a mirror and still loads,Pass,0,,"CORRECTED: the CSV's edge case ""No VRM URL shows alert"" describes app.js's openVrmViewer() guard (still true if called with no url), but the card UI never calls it with no URL — it renders a disabled ghost button instead (app.js:215-217), so that alert path is effectively dead from the UI (still reachable if openVrmViewer() were called directly). Gateway-fallback behavior is far more elaborate than the original one-line description — 4 IPFS gateways tried in order.",2026-08-10
F28,HTML: Image preview modal,As a user I want to preview collection images,"Click a card thumbnail (data-img delegation) -> shows image_url/sample_nft_image + optional banner (skipped if the banner is a video url); Escape or clicking the modal backdrop closes and clears both img src attributes",No image on the collection -> data-img click does nothing (no modal, no error); video banner detected via .mp4/stream.mux.com and simply hidden rather than played,TC28a: click a thumbnail with an image opens the modal; TC28b: Escape closes; TC28c: video banner is hidden, only the main image shows,Pass,0,,CORRECTED: ""Broken image shows placeholder"" edge case belongs to F32 (broken image is a card-thumbnail concern handled by onerror before the modal is ever opened) not to the modal itself — moved.,2026-08-10
F29,HTML: Empty state,As a user I want clear feedback when filters return no results,"emptyState div toggled via display:none/block based on rows.length; text ""No collections match your filters.""",Filter combination that matches zero of N collections; typo in original CSV text (""No results match your filters."") vs actual DOM text,TC29a: set an impossible filter combination (e.g. search text matching nothing) and confirm the empty-state div is visible and the grid is empty,Pass,0,,Exact copy corrected to match actual DOM text.,2026-08-10
F30,HTML: Mobile responsive,As a user on mobile I want the page to be usable,"viewport meta tag present; 3 @media breakpoints in app.css (900px: header/controls stack; 720px: further control stacking; 440px: card-grid forced to 1 column)",Viewport widths between breakpoints; very narrow (<320px) devices not explicitly targeted,TC30a: viewport meta tag present in index.html head; TC30b: 3 @media rules present in app.css (confirmed at lines 168/182/303),Pass,0,,"Table-scroll edge case REMOVED (no <table> exists anymore, see F16); card-grid single-column collapse is the current mobile behavior.",2026-08-10
F31,HTML: Lazy loading,As a user I want images to load lazily for performance,Card thumbnail <img> tags carry loading="lazy" (app.js:189); no other image elements in the current DOM (avatar grid removed),TC31a: rendered card thumb <img> elements have loading="lazy",Pass,0,,"""avatar grid images"" edge case removed — that grid no longer exists (F25 cut).",2026-08-10
F32,HTML: Broken image fallback,As a user I want broken images to show something other than a broken-image icon,"onerror handler on the thumb <img> replaces itself with a <div class=""crow-fallback""> showing the collection's first-letter initial (app.js:189)",No art at all (image_url/sample_nft_image/non-video banner all absent) -> renders the same crow-fallback div directly, onerror never fires,TC32a: force a 404 image URL and confirm the img element is replaced with a lettered fallback div,Pass,0,,"CORRECTED: original described a ""thumb-placeholder span"" — actual implementation is a ""crow-fallback"" div with the collection's initial letter, not a generic placeholder.",2026-08-10
F16c,HTML: Chain/storage chips,"As a user I want to jump straight to a collection's on-chain contract or its VRM file's storage location","Up to 2 contract-address chips (linked to the correct per-chain block explorer via an 8-chain EXPLORERS map, or a plain unlinked chip if the chain has no configured explorer) plus one storage-location chip (IPFS/Arweave/GitHub/bare hostname) derived from the collection's actual VRM URL",Chain with no explorer entry in the EXPLORERS map renders a non-clickable chip instead of silently omitting it; malformed VRM URL that throws in `new URL()` is caught and omitted,TC16c-1: a Base-chain collection's contract chip links to basescan.org; TC16c-2: an IPFS-hosted VRM shows an ""IPFS"" chip linking to ipfs.io,Pass,0,,"NOT in the original spreadsheet. Fixes a real prior defect noted in-code (app.js:52-53 comment): every contract link used to hard-code etherscan.io regardless of actual chain.",2026-08-10
F16d,HTML: License badge with reason codes,As a user I want to know not just the license color but the real license name and why it was categorized that way,"licenseBadge() shows the collection's actual license name when known (falls back to a generic Open/Holder/Restricted/Unknown label); title tooltip carries reason_codes + confidence level (embedded/collection/manual/unknown)",No license_category and no vrm_license -> renders the generic ""Unknown"" badge with no tooltip detail beyond ""[unknown]"",TC16d-1: a CC0 collection shows ""CC0"" not just a green dot; TC16d-2: badge title attribute contains the confidence level,Pass,0,,Not in the original spreadsheet — this replaced a simpler color-only badge per the in-code comment (app.js:30-32) noting the old design duplicated the same info twice.,2026-08-10
F16e,HTML: Data-load failure message,As a user I want to know why the page is blank if the data files fail to load,"try/catch around loadBuildInfo()+loadCollections() on init; on any failure, collectionsGrid is replaced with an inline error message naming the failure and the exact rebuild command (`python scripts/build_catalog.py`)",build-info.json 404s; collections.<hash>.json 404s (stale build-info pointer); malformed JSON,TC16e-1: rename/hide a data file and reload — confirm the error message renders instead of a silent blank page,Pass,0,,Not in the original spreadsheet — an operator-facing error path with zero prior test coverage.,2026-08-10
F16f,Service worker offline cache,"As a repeat visitor, I want the catalog to load from cache when I'm offline or the network is slow","Cache-first + indefinite for content-hashed /data/*.<12-hex>.json; network-first-fallback-to-cache for build-info.json; stale-while-revalidate for the app shell (index.html/app.css/app.js) and Google Fonts; CACHE_VERSION-keyed cache name, old versions purged on activate; registered only on https or localhost",Registration is skipped entirely on plain-http non-localhost (no SW at all, by design — see app.js:542 protocol check); a stale cached app-shell file is served offline but always revalidated in the background when online,TC16f-1: DevTools Application panel shows the SW registered and activated; TC16f-2: going offline and reloading still renders the cached shell + last-cached data,Pass,0,,"Entire sw.js (116 lines) had ZERO spreadsheet rows before this pass despite being a real, currently-shipping feature.",2026-08-10
F33,DB: Collections table,As a system I want collections stored with 50+ metadata fields,SQLite table with id/name/tier/chain/contract/opensea_slug + 45 more fields; id is PRIMARY KEY,No duplicate ids; no duplicate names; no duplicate slugs,TC33a: row count matches static build (65, was 74 — 8 collections removed by migration 021, owner-directed, not a defect); TC33b: no dup names (0 found); TC33c: no dup slugs; TC33d: no dup contracts except shared storefront,FIXED,1,Medium,"DEFECT-QA-001 (FIXED 2026-08-10): opensea_slug collision — chametheon & cyberanimedoll-avatar both had opensea_slug='pixelbeasts' (copy-paste from the shared-storefront row) instead of their own values documented in data/opensea_collection_overrides.yaml. Fixed via targeted UPDATE; verified no dup slugs remain; rebuilt static/data and reran pytest (163/163) + catalog-performance.mjs (all pass) post-fix. Contract-sharing itself (3 rows on 0x495f9472...) is the documented, correct shared-storefront exception.",2026-08-10
F34,DB: Avatars table,As a system I want VRM avatars stored with collection FK,SQLite table with id/collection_id/name/description/model_file_url/format/thumbnail_url,TC34a: row count matches current dataset (152, not the historical 4062 — see note); TC34b: all collection_ids exist in collections (0 orphans),Pass,0,,"COUNT CORRECTED, not a defect: migrations/021_remove_handled_collections.sql (commit e8fdd07, ""owner-directed"") deleted 8 already-onboarded collections (100avatars-r1/r2/r3, RetroDoges, Grifters Squaddies, etc.) and cascaded their avatar rows — that is where ~3,910 avatars went. AGENTS.md's ""4,062 avatars"" line is now stale documentation, not a live defect. FK integrity clean (0 orphans).",2026-08-10
F35,DB: OpenSea candidates table,As a system I want OpenSea candidates stored,SQLite table with slug/name/chain/contract/status + 25 more fields,TC35a: 216 rows (matches); TC35b: no dup slugs (0 found),Pass,0,,,2026-08-10
F36,DB: Contracts table,As a system I want contract addresses linked to collections,SQLite table with collection_id/address/chain/token_standard/is_primary; composite PK,TC36a: row count matches current dataset (64, was 69 — same migration-021 cascade as F34, not a defect); TC36b: all collection_ids valid (0 orphans),Pass,0,,Count corrected same reason as F34.,2026-08-10
F37,DB: Sources table,As a system I want data source provenance tracked,SQLite table with id/title/url/type,TC37a: 5 rows (exact match): curated-registry/toxsam-projects/opensea-api/hackmd-xr/vrm-spec,Pass,0,,,2026-08-10
F38,Build: Markdown parsing,As a system I want vrm_collections.md parsed into collection records,Parse tier A/B/C tables + licensing tables + arweave + infra; slugify names; dedup by id,Name mismatches between tables; shared store contracts; parenthetical suffixes,TC38a: tier A parsed; TC38b: tier B parsed; TC38c: licensing matched to collections; TC38d: no dups,Pending,0,,,
F39,Build: A3AC enrichment,As a system I want A3AC registry entries merged into collections,Parse a3ac_parsed.json; dedup by contract and name overlap; enrich existing with project_url/metadata_url/vrm_param,Shared store contracts; name overlap matching,TC39a: A3AC entries merged; TC39b: no dups from A3AC,Pending,0,,,
F40,Build: OpenSea meta enrichment,As a system I want OpenSea API data applied to collections,Apply collection_meta.json fields (description/num_owners/floor_price/category/safelist/etc); fuzzy name match; contract-based fallback,Shared store contracts skipped; name not overwritten; image_url not overwritten,TC40a: descriptions populated; TC40b: num_owners populated; TC40c: names not overwritten,Pending,0,,,
F41,Build: Supply/trait enrichment,As a system I want supply and trait data applied,Apply supply_data.json and trait_data.json via contract key; skip shared store contracts,TC41a: total_supply populated; TC41b: nft_type populated,Pending,0,,,
F42,Build: Preview images,As a system I want preview images applied,Apply preview_images.json via contract key and slug key; don't overwrite existing image_url,TC42a: image_url populated; TC42b: existing images not overwritten,Pending,0,,,
F43,Build: Social links,As a system I want Discord/Twitter links applied,Apply social_links.json via contract key,TC43a: discord_url populated; TC43b: twitter_username populated,Pending,0,,,
F44,Build: Discord status,As a system I want Discord invite status checked,Apply discord_status.json via contract key,TC44a: discord_status populated; TC44b: discord_members populated,Pending,0,,,
F45,Build: URL status,As a system I want project URL alive/dead status,Apply url_status.json; check Wayback Machine availability,TC45a: url_status populated; TC45b: wayback_available populated,Pending,0,,,
F46,Build: HTML generation,As a system I want static HTML catalog generated,Embed all collection/avatar/opensea data as JSON; render with JS; include VRM viewer + image modal,TC46a: index.html generated; TC46b: data embedded; TC46c: size reasonable,Pending,0,,,
F47,Build: Post-build fetch,As a system I want post-build scripts to update caches for next run,Run backfill_urls.py + fetch_osavatar_images.py + fetch_collection_meta.py after build,TC47a: backfill runs; TC47b: fetch_collection_meta runs; TC47c: caches updated,Pending,0,,,
F48,Data integrity: no duplicates,As a researcher I want no duplicate collections,Dedup by id (merge); fuzzy name matching for licensing table; shared store contract handling,TC48a: no dup names; TC48b: no dup slugs; TC48c: no dup contracts (except shared),FIXED,1,Medium,Same DEFECT-QA-001 as F33 — this is the cross-cutting data-integrity test that caught the opensea_slug collision. Fixed and verified; see F33 notes.,2026-08-10
F49,Data integrity: broken images,As a researcher I want no broken image URLs,All image_url values return HTTP 200,"TC49a: sampled 10 of 59 non-null image_url values via curl -sI --max-time 5 (one arweave.net URL followed with -L) -> 10/10 returned 200. Full 59-URL sweep not run this pass (network-heavy, not repeated here)",Pass (sampled),0,,"59/65 collections have a non-null image_url (6 null — those render the lettered fallback, not a broken image). Denominator for a full run is 59, not 65 or 74.",2026-08-10
F50,Data integrity: valid slugs,As a researcher I want all OpenSea slugs to resolve,All opensea_slug values return 200 from OpenSea API,"TC50a: 60/65 collections have a non-null opensea_slug (5 null); live 200-check against the OpenSea API requires an API key and was not run this pass",Blocked (needs OpenSea API key),0,,"Same latent risk this test is designed to catch was found and fixed offline via F33/F48 (the chametheon/cyberanimedoll-avatar slug collision would have pointed both at the wrong OpenSea page). A live API sweep of the remaining 60 slugs is still open — needs ~/.opensea/api_key.",2026-08-10
